rank,player,team,division,goals,match_count,note
53,大森 れいら,FC市川GUNNERSレディース,ALL,1,1,
53,谷野 陽咲,FC市川GUNNERSレディース,ALL,1,1,
53,黒澤 七葉,FC市川GUNNERSレディース,ALL,1,1,
53,椎名 由衣,INAC柏CRAVO FC,ALL,1,1,
53,武藤 夏穂,INAC柏CRAVO FC,ALL,1,1,
53,水野 怜咲,INAC柏CRAVO FC,ALL,1,1,
53,直井 里桜,INAC柏CRAVO FC,ALL,1,1,
53,竹田 美羽,INAC柏CRAVO FC,ALL,1,1,
53,藤井 悠羽,INAC柏CRAVO FC,ALL,1,1,
53,小沼 來倖,INAC白岡SCレディース,ALL,1,1,
53,金子 歩未,INAC白岡SCレディース,ALL,1,1,
53,中村 詩,RB大宮アルディージャWOMEN U15,ALL,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
53,加藤 咲那,RB大宮アルディージャWOMEN U15,ALL,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
53,小口彩理,RB大宮アルディージャWOMEN U15,ALL,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
53,椎名 夢咲,RB大宮アルディージャWOMEN U15,ALL,1,1,
53,飯島 桜子,RB大宮アルディージャWOMEN U15,ALL,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
53,大井 陽菜花,VONDS市原FCレディ－スU-15,ALL,1,1,
53,柴田 麗衣,VONDS市原FCレディ－スU-15,ALL,1,1,
53,氏家 心絆,VONDS市原FCレディ－スU-15,ALL,1,1,
53,福尾 美緒音,VONDS市原FCレディ－スU-15,ALL,1,1,
53,福田 結彩,VONDS市原FCレディ－スU-15,ALL,1,1,
53,長山 あいら,VONDS市原FCレディ－スU-15,ALL,1,1,
53,今泉 奏,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
53,湯本 蘭,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
53,菊池 玲香,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
53,齋藤 澪來,ちふれASエルフェン埼玉マリU-15,ALL,1,1,
53,吉岡 奏碧,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
53,落合 姫花,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
53,越川 日葉莉,ジェフユナイテッド市原・千葉レディースU-15,ALL,1,1,
53,オウンゴール,スフィーダ世田谷FCユース,ALL,1,1,
53,佐藤 杏音,スフィーダ世田谷FCユース,ALL,1,1,
53,加瀬 楓,スフィーダ世田谷FCユース,ALL,1,1,
53,吉川 怜那,スフィーダ世田谷FCユース,ALL,1,1,
53,吉川 美南,スフィーダ世田谷FCユース,ALL,1,1,
53,尾熊 彩,スフィーダ世田谷FCユース,ALL,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
53,浅香 裕来,スフィーダ世田谷FCユース,ALL,1,1,
53,茂木 陽菜,スフィーダ世田谷FCユース,ALL,1,1,
53,中田 優沙,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
53,信川 結菜,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
53,枩埜 心凪,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
53,田中 凛,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
53,藤田 生穂,ノジマステラ神奈川相模原アヴェニーレ,ALL,1,1,
53,オウンゴール,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
53,宮脇 彩,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
53,平澤 夢真,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
53,池谷 七南,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
53,由利 桃子,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
53,那須野 葵,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
53,頼広 結舞,三菱重工浦和レッズレディースジュニアユース,ALL,1,1,
53,松原 璃々,十文字中学校,ALL,1,1,
53,遊佐葉月,十文字中学校,ALL,1,1,
53,金子 楓翔,十文字中学校,ALL,1,1,
53,北川 花澄,小美玉フットボールアカデミー,ALL,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
53,郷原 希恵,小美玉フットボールアカデミー,ALL,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
53,高柳 凛歩,小美玉フットボールアカデミー,ALL,1,1,team_heading_not_in_match:小美玉フットボールアカデミー
53,金子 和,府ロクレディース,ALL,1,1,
53,オウンゴール,栃木SCレディース,ALL,1,1,
53,富澤 結夢,栃木SCレディース,ALL,1,1,
53,柳浦 咲煌,栃木SCレディース,ALL,1,1,
53,檜山 未知琉,栃木SCレディース,ALL,1,1,
53,中島 叶夢,横須賀シーガルズMEG,ALL,1,1,
53,大宮 夢,横須賀シーガルズMEG,ALL,1,1,
53,脇田 莉央,横須賀シーガルズMEG,ALL,1,1,
53,宮崎 杏,湘南ベルマーレU-15ガールズ,ALL,1,1,
53,島田 莉里花,湘南ベルマーレU-15ガールズ,ALL,1,1,
