rank,player,team,division,goals,match_count,note
70,箕輪ひさの,スフィーダ世田谷FCユース,2部,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
70,角鹿妃南,スフィーダ世田谷FCユース,2部,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
70,関まはる,スフィーダ世田谷FCユース,2部,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
70,齊藤礼,スフィーダ世田谷FCユース,2部,1,1,
70,オウンゴール,十文字中学校,2部,1,1,
70,吉江美水帆,十文字中学校,2部,1,1,
70,吉浦希,十文字中学校,2部,1,1,
70,掛川蘭,十文字中学校,2部,1,1,
70,森田湖朱,十文字中学校,2部,1,1,
70,箱崎莉乃,十文字中学校,2部,1,1,
70,中村詩,大宮アルディージャVENTUS U15,2部,1,1,
70,大山心路,大宮アルディージャVENTUS U15,2部,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
70,大木優里葉,大宮アルディージャVENTUS U15,2部,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
70,峰岸果海,大宮アルディージャVENTUS U15,2部,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
70,平井香凛,大宮アルディージャVENTUS U15,2部,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
70,村上菜葉,大宮アルディージャVENTUS U15,2部,1,1,
70,石牟礼咲希,大宮アルディージャVENTUS U15,2部,1,1,team_heading_not_in_match:大宮アルディージャVENTUS U15
70,オウンゴール,栃木SCレディース,2部,1,1,score_mismatch:expected=13:actual=12
70,吉成礼,栃木SCレディース,2部,1,1,
70,大久保藍奈,栃木SCレディース,2部,1,1,
70,松尾咲良,栃木SCレディース,2部,1,1,score_mismatch:expected=13:actual=12
70,渡邉凛,栃木SCレディース,2部,1,1,score_mismatch:expected=13:actual=12
70,鈴木心絆,栃木SCレディース,2部,1,1,
70,中邨日向,湘南ベルマーレU-15ガールズ,2部,1,1,
70,杉崎汐里,湘南ベルマーレU-15ガールズ,2部,1,1,
70,薮下遥,湘南ベルマーレU-15ガールズ,2部,1,1,
